* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: 13:08:36 14/06/2025
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: A plus B
* Smoothing: 1/12 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.885 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
152.114243	103.6497	-135.0596
153.216522	103.6657	-135.7935
154.326797	103.7116	-136.4894
155.445114	103.7589	-137.2453
156.571533	103.7789	-138.1572
157.706116	103.8153	-139.0933
158.848923	103.8329	-140.0975
160	103.8019	-141.1742
161.159424	103.7737	-142.1076
162.327255	103.7317	-142.8955
163.50354	103.6597	-143.5772
164.688354	103.6248	-144.0591
165.88176	103.6061	-144.4759
167.083801	103.6036	-144.8962
168.294571	103.5826	-145.4199
169.514099	103.5924	-145.9369
170.742462	103.6002	-146.4896
171.979736	103.5752	-147.0988
173.225967	103.5742	-147.6145
174.481232	103.5744	-148.0712
175.745605	103.5534	-148.5261
177.019119	103.5736	-148.9066
178.30188	103.6061	-149.3173
179.593933	103.6221	-149.8557
180.89534	103.6688	-150.4535
182.206177	103.7106	-151.1663
183.52652	103.7086	-152.0139
184.85643	103.7175	-152.8588
186.195984	103.7045	-153.6544
187.545227	103.6495	-154.3867
188.904266	103.6167	-154.9439
190.273132	103.586	-155.388
191.651932	103.5613	-155.7404
193.040726	103.5183	-156.0425
194.439575	103.5218	-156.2461
195.848572	103.5435	-156.4384
197.267761	103.5545	-156.7088
198.69725	103.6072	-157.0321
200.137085	103.666	-157.4615
201.587372	103.696	-158.0258
203.048157	103.7499	-158.6551
204.519531	103.7929	-159.3605
206.001556	103.7919	-160.1312
207.494324	103.8049	-160.8665
208.997925	103.806	-161.5453
210.512405	103.77	-162.156
212.037857	103.7643	-162.6469
213.574371	103.7656	-163.0627
215.122025	103.7476	-163.4619
216.680893	103.7709	-163.8501
218.251053	103.8032	-164.2769
219.832581	103.8396	-164.7564
221.425583	103.8476	-165.2991
223.030121	103.8831	-165.8681
224.646286	103.9176	-166.468
226.27417	103.9176	-167.1093
227.913849	103.9431	-167.7774
229.565399	103.9596	-168.4675
231.228928	103.9366	-169.1542
232.90451	103.9352	-169.7945
234.592224	103.9297	-170.3662
236.292191	103.8947	-170.8613
238.004456	103.8972	-171.2987
239.729126	103.9098	-171.7181
241.466309	103.8998	-172.1545
243.21608	103.9273	-172.644
244.978516	103.9528	-173.191
246.753738	103.9448	-173.7682
248.541809	103.9603	-174.3552
250.34285	103.9718	-174.9144
252.156937	103.9842	-175.4364
253.984161	103.9712	-175.9227
255.824646	103.9936	-176.4333
257.678467	104.02	-176.9894
259.545685	104.014	-177.5872
261.426483	104.0312	-178.2437
263.320862	104.0385	-178.8966
265.229004	104.0085	-179.475
267.15097	104.0067	-179.9949
269.086853	104.0118	179.5544
271.036774	103.9998	179.1552
273.000824	104.0297	178.6958
274.979095	104.0687	178.1499
276.97171	104.0767	177.5272
278.97876	104.1055	176.7838
281.000336	104.1203	175.9882
283.036591	104.0883	175.2285
285.087585	104.07	174.4976
287.153442	104.0415	173.8818
289.234283	104.013	173.4045
291.3302	103.964	173.0757
293.441284	103.9603	172.7522
295.567688	103.9705	172.4331
297.709503	103.9655	172.1217
299.866821	104.0007	171.7162
302.039795	104.0416	171.2211
304.228485	104.0546	170.6647
306.433044	104.0874	169.9562
308.653595	104.1041	169.1858
310.890228	104.0721	168.484
313.143066	104.0556	167.8266
315.412231	104.035	167.2889
317.697845	103.993	166.9032
320	103.9923	166.5157
322.318848	104.0044	166.1167
324.65451	103.9974	165.7101
327.00708	104.0193	165.1658
329.376709	104.0351	164.5647
331.763519	104.0437	163.9554
334.167603	104.0177	163.4351
336.589142	104.0171	162.8945
339.028198	104.0184	162.3857
341.484924	103.9944	161.9534
343.959473	104.0014	161.4543
346.451935	104.0082	160.9496
348.962463	103.9892	160.5161
351.491211	103.998	160.0324
354.038239	104.0095	159.5632
356.60376	103.9995	159.1592
359.187866	104.0188	158.6604
361.79068	104.0379	158.1313
364.412354	104.0299	157.6566
367.05304	104.0457	157.1075
369.71286	104.0604	156.5634
372.391968	104.0514	156.1027
375.090454	104.0699	155.5721
377.808533	104.0922	155.0244
380.546265	104.1173	154.4307
383.303864	104.1143	153.8593
386.081451	104.1281	153.1701
388.87915	104.1328	152.4738
391.697144	104.1028	151.8959
394.535522	104.0922	151.3141
397.394501	104.0844	150.8138
400.27417	104.0594	150.4495
403.174744	104.0684	150.0122
406.096313	104.0841	149.4975
409.039062	104.0791	149.079
412.003113	104.0976	148.617
414.988647	104.1189	148.1284
