* Measurement data measured by REW V5.20.13
* Source: /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt
* Format: Comma/Tab/Space delimited data
* Dated: Feb 21, 2023 8:24:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from /projects/speakers/epique and morel/port and woofer nearfield diffraction.txt Format: Comma/Tab/Space delimited data 957 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: port and woofer nearfield
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
173.225967	91.349	-147.3742
174.481232	91.333	-147.3526
175.745605	91.332	-147.3581
177.019119	91.344	-147.4151
178.301880	91.366	-147.5311
179.593933	91.391	-147.7079
180.895340	91.421	-147.9495
182.206177	91.452	-148.2460
183.526520	91.479	-148.5834
184.856430	91.497	-148.9508
186.195984	91.513	-149.3479
187.545227	91.524	-149.7580
188.904266	91.527	-150.1542
190.273132	91.530	-150.5249
191.651932	91.535	-150.8702
193.040726	91.542	-151.2151
194.439575	91.555	-151.6019
195.848572	91.565	-152.0449
197.267761	91.564	-152.5249
198.697250	91.553	-153.0021
200.137085	91.532	-153.4157
201.587372	91.507	-153.7338
203.048157	91.491	-153.9833
204.519531	91.485	-154.2043
206.001556	91.484	-154.4299
207.494324	91.491	-154.6880
208.997925	91.502	-154.9805
210.512405	91.511	-155.2997
212.037857	91.513	-155.6321
213.574371	91.512	-155.9680
215.122025	91.507	-156.2777
216.680893	91.501	-156.5421
218.251053	91.501	-156.7803
219.832581	91.507	-157.0131
221.425583	91.516	-157.2611
223.030121	91.530	-157.5466
224.646286	91.543	-157.8591
226.274170	91.550	-158.1791
227.913849	91.557	-158.5001
229.565399	91.564	-158.8026
231.228928	91.571	-159.0859
232.904510	91.586	-159.3901
234.592224	91.604	-159.7412
236.292191	91.616	-160.1418
238.004456	91.620	-160.5737
239.729126	91.614	-160.9696
241.466309	91.603	-161.2629
243.216080	91.597	-161.4380
244.978516	91.614	-161.5647
246.753738	91.657	-161.7432
248.541809	91.718	-162.0805
250.342850	91.783	-162.6619
252.156937	91.831	-163.4820
253.984161	91.844	-164.4664
255.824646	91.816	-165.5163
257.678467	91.746	-166.5038
259.545685	91.639	-167.3337
261.426483	91.510	-167.9830
263.320862	91.362	-168.4314
265.229004	91.190	-168.6587
267.150970	90.995	-168.5786
269.086853	90.784	-168.0170
271.036774	90.586	-166.8401
273.000824	90.459	-165.0912
274.979095	90.453	-162.9842
276.971710	90.591	-160.8779
278.978760	90.848	-159.1840
281.000336	91.169	-158.2323
283.036591	91.486	-158.0957
285.087585	91.752	-158.6125
287.153442	91.956	-159.5340
289.234283	92.098	-160.6121
291.330200	92.188	-161.6730
293.441284	92.242	-162.6236
295.567688	92.275	-163.3963
297.709503	92.304	-163.9973
299.866821	92.347	-164.5390
302.039795	92.401	-165.1406
