* Measurement data measured by REW V5.20.13
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 21, 2023 4:29:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Port and Woofer Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
257.678467	105.7904	-166.7288
259.545685	105.6524	-167.5312
261.426483	105.5221	-168.2173
263.320862	105.3846	-168.6457
265.229004	105.2086	-168.9481
267.15097	105.0139	-169.1388
269.086853	104.769	-168.8065
271.036774	104.491	-167.5618
273.000824	104.3058	-165.5652
274.979095	104.2704	-163.0072
276.97171	104.4278	-160.3753
278.97876	104.7378	-158.2047
281.000336	105.1509	-157.1911
283.036591	105.5378	-157.3273
285.087585	105.8138	-158.1599
287.153442	106.0214	-159.4017
289.234283	106.1599	-160.6789
291.3302	106.2259	-161.7997
293.441284	106.267	-162.8625
295.567688	106.279	-163.6541
297.709503	106.277	-164.0629
299.866821	106.3277	-164.4473
302.039795	106.4102	-164.9602
304.228485	106.4732	-165.6631
306.433044	106.5193	-166.7168
308.653595	106.5044	-167.8124
310.890228	106.4154	-168.5914
313.143066	106.3191	-169.1138
315.412231	106.2246	-169.297
317.697845	106.1479	-169.2064
320	106.0839	-168.8209
322.318848	106.08	-168.449
324.65451	106.1147	-168.1588
327.00708	106.1457	-167.9722
329.376709	106.1803	-168.0185
331.763519	106.1936	-167.9886
334.167603	106.1966	-167.668
336.589142	106.2537	-167.3799
339.028198	106.3456	-167.2509
341.484924	106.4216	-167.3116
343.959473	106.4832	-167.6593
346.451935	106.5065	-167.9414
348.962463	106.5035	-167.865
351.491211	106.5497	-167.6992
354.038239	106.6376	-167.6274
356.60376	106.7206	-167.759
359.187866	106.7903	-168.2322
361.79068	106.8198	-168.7237
364.412354	106.827	-169.0886
367.05304	106.814	-169.2351
369.71286	106.8181	-169.4314
372.391968	106.8168	-169.5954
375.090454	106.7908	-169.5609
377.808533	106.7873	-169.4713
380.546265	106.8086	-169.3051
383.303864	106.8376	-169.1333
386.081451	106.8828	-169.2448
388.87915	106.9077	-169.4782
391.697144	106.8867	-169.5927
394.535522	106.8574	-169.653
397.394501	106.8248	-169.4766
400.27417	106.8018	-168.9714
403.174744	106.8401	-168.4903
406.096313	106.9221	-168.2038
409.039062	106.9951	-168.18
412.003113	107.045	-168.5156
414.988647	107.0485	-168.8719
417.99585	107.018	-169.069
421.024811	106.965	-168.9419
424.075714	106.9351	-168.7367
427.148743	106.9231	-168.4493
430.244049	106.9151	-168.0515
433.361786	106.9309	-167.7806
436.502106	106.9535	-167.5474
439.665161	106.9715	-167.2517
442.851166	107.0129	-167.1704
446.060242	107.0451	-167.3281
449.292572	107.0131	-167.5351
452.54834	106.9222	-167.5615
455.827698	106.8129	-166.9037
459.130798	106.7739	-165.5979
462.457855	106.8695	-164.4974
465.809021	107.023	-164.0867
469.184448	107.121	-164.2704
472.584381	107.1363	-164.7472
476.008911	107.0833	-164.8998
479.458252	107.0251	-164.557
482.932617	107.0091	-163.8572
486.432159	107.0569	-163.3736
489.957031	107.1214	-163.188
493.507477	107.1634	-163.1619
497.083618	107.1887	-163.4047
500.685699	107.1769	-163.7237
504.313873	107.1099	-163.8545
507.968323	107.0219	-163.7767
511.649292	106.9437	-163.313
