* Measurement data measured by REW V5.20.13
* Source: U18dB [plughw:2,0], no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Feb 21, 2023 1:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Woofer Far Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
1601.096680	95.368	-143.9304
1612.698975	95.563	-144.5226
1624.385254	95.748	-145.2778
1636.156250	95.919	-146.1920
1648.012451	96.073	-147.2589
1659.954590	96.208	-148.4682
1671.983398	96.319	-149.8066
1684.099243	96.403	-151.2567
1696.302856	96.459	-152.7980
1708.594971	96.484	-154.4063
1720.976196	96.475	-156.0541
1733.447144	96.433	-157.7111
1746.008423	96.354	-159.3439
1758.660645	96.240	-160.9171
1771.404663	96.092	-162.3934
1784.240967	95.910	-163.7349
1797.170288	95.696	-164.9041
1810.193359	95.456	-165.8658
1823.310791	95.194	-166.5895
1836.523193	94.915	-167.0517
1849.831421	94.628	-167.2389
1863.236084	94.339	-167.1500
1876.737793	94.056	-166.7974
1890.337524	93.788	-166.2067
1904.035645	93.539	-165.4143
1917.833008	93.313	-164.4626
1931.730469	93.111	-163.3936
1945.728638	92.933	-162.2431
1959.828125	92.774	-161.0348
1974.029907	92.633	-159.7768
1988.334473	92.505	-158.4625
2002.742798	92.389	-157.0734
2017.255493	92.286	-155.5858
2031.873291	92.202	-153.9792
2046.597168	92.142	-152.2460
2061.427734	92.115	-150.3997
2076.365479	92.131	-148.4799
2091.411865	92.196	-146.5517
2106.566895	92.314	-144.6995
2121.832031	92.480	-143.0152
2137.207764	92.688	-141.5847
2152.694824	92.925	-140.4747
2168.294189	93.177	-139.7245
2184.006592	93.428	-139.3424
2199.832764	93.666	-139.3082
2215.773682	93.879	-139.5781
2231.830078	94.060	-140.0919
2248.002686	94.202	-140.7796
2264.292725	94.306	-141.5683
2280.700684	94.370	-142.3871
2297.227539	94.399	-143.1727
2313.874268	94.398	-143.8730
2330.641602	94.372	-144.4514
2347.530273	94.331	-144.8894
2364.541504	94.282	-145.1878
2381.676025	94.233	-145.3657
2398.934570	94.188	-145.4573
2416.318359	94.151	-145.5052
2433.827881	94.120	-145.5532
2451.464355	94.092	-145.6382
2469.228760	94.063	-145.7833
2487.121826	94.024	-145.9933
2505.144531	93.969	-146.2536
2523.297852	93.894	-146.5307
2541.582764	93.792	-146.7763
2560.000000	93.664	-146.9318
2578.550781	93.511	-146.9348
2597.236084	93.337	-146.7263
2616.056641	93.150	-146.2575
2635.013672	92.960	-145.4979
2654.108154	92.781	-144.4408
2673.340820	92.625	-143.1074
2692.713135	92.504	-141.5470
