* Measurement data measured by REW V5.30.8
* Source: Trace Arithmetic result A + B
* Format: Trace Arithmetic result A + B
* Dated: Feb 10, 2024 1:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A plus B A = Port Near Field B = Woofer Near Field
* Measurement: Woofer Port Near Field
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
125.171425	107.6477	-100.0696
126.078468	107.6666	-100.7782
126.992081	107.6949	-101.4661
127.912323	107.7059	-102.2693
128.839233	107.7453	-103.1243
129.772842	107.7729	-104.1228
130.713242	107.7469	-105.2445
131.660431	107.7217	-106.2232
132.614502	107.6817	-107.0707
133.575485	107.6097	-107.875
134.543427	107.5588	-108.5029
135.518387	107.5111	-108.9621
136.500412	107.4531	-109.3348
137.489548	107.4446	-109.6379
138.485855	107.4464	-110.0123
139.48938	107.4214	-110.4438
140.500168	107.4312	-110.7506
141.518295	107.4592	-111.0454
142.543793	107.4742	-111.469
143.576721	107.5264	-111.9527
144.617142	107.5786	-112.5659
145.6651	107.6221	-113.3162
146.720642	107.6131	-114.214
147.783844	107.6038	-115.0328
148.854752	107.5766	-115.6741
149.933411	107.5226	-116.1372
151.019897	107.5195	-116.419
152.114243	107.5465	-116.6702
153.216522	107.5705	-117.0532
154.326797	107.6407	-117.5775
155.445114	107.709	-118.365
156.571533	107.721	-119.445
157.706116	107.7153	-120.5629
158.848923	107.6678	-121.4936
160	107.5818	-122.1493
161.159424	107.5435	-122.613
162.327255	107.5172	-123.1337
163.50354	107.4542	-123.7594
164.688354	107.402	-124.2591
165.88176	107.3489	-124.5265
167.083801	107.3169	-124.6171
168.294571	107.2829	-124.7172
169.514099	107.2999	-124.8665
170.742462	107.326	-125.0895
171.979736	107.33	-125.3887
173.225967	107.3713	-125.7194
174.481232	107.4206	-126.1266
175.745605	107.4426	-126.6785
177.019119	107.4889	-127.3849
178.30188	107.5102	-128.2488
179.593933	107.4662	-129.1518
180.89534	107.4216	-129.8923
182.206177	107.3621	-130.4068
183.52652	107.2751	-130.6936
184.85643	107.2386	-130.7656
186.195984	107.2321	-130.7551
187.545227	107.2241	-130.7772
188.904266	107.2716	-130.8481
190.273132	107.3442	-131.0296
191.651932	107.4347	-131.4387
193.040726	107.4907	-132.1509
194.439575	107.5502	-133.1122
195.848572	107.5678	-134.1589
197.267761	107.5198	-135.1071
198.69725	107.4813	-135.8723
200.137085	107.4408	-136.4649
201.587372	107.3778	-136.9597
203.048157	107.3523	-137.4664
204.519531	107.3268	-138.0077
206.001556	107.2638	-138.525
207.494324	107.2262	-139.0025
208.997925	107.1856	-139.4289
210.512405	107.1126	-139.7727
212.037857	107.074	-140.0216
213.574371	107.0492	-140.1877
215.122025	107.0102	-140.3553
216.680893	107.0115	-140.6045
218.251053	107.0177	-140.8892
219.832581	107.0298	-141.2331
221.425583	107.0118	-141.6637
223.030121	107.0147	-142.227
224.646286	106.9997	-142.8383
226.27417	106.9377	-143.41
227.913849	106.8875	-143.9829
229.565399	106.8163	-144.5077
231.228928	106.6923	-144.8536
232.90451	106.584	-144.9468
234.592224	106.4875	-144.6676
236.292191	106.4025	-144.0457
238.004456	106.406	-143.4136
239.729126	106.4533	-142.9713
241.466309	106.4963	-142.6941
243.21608	106.5805	-142.5961
244.978516	106.6787	-142.6142
246.753738	106.7567	-142.7713
248.541809	106.8656	-143.1869
250.34285	106.9694	-143.799
252.156937	107.0591	-144.6279
253.984161	107.0901	-145.6573
255.824646	107.0996	-146.8839
257.678467	107.054	-148.0103
259.545685	106.943	-148.7807
261.426483	106.8533	-149.254
263.320862	106.7814	-149.4587
265.229004	106.7114	-149.5141
267.15097	106.6933	-149.7086
269.086853	106.6781	-150.0125
271.036774	106.6291	-150.2507
273.000824	106.6097	-150.4476
274.979095	106.6031	-150.5876
276.97171	106.5821	-150.6807
278.97876	106.6004	-150.8705
281.000336	106.6284	-151.1429
283.036591	106.6324	-151.4903
285.087585	106.6532	-152.0226
287.153442	106.661	-152.5841
289.234283	106.6585	-153.1407
291.3302	106.6205	-153.6505
293.441284	106.5938	-154.2476
295.567688	106.5479	-154.8021
297.709503	106.4609	-155.1249
299.866821	106.4037	-155.2573
302.039795	106.3744	-155.1941
304.228485	106.3574	-155.1069
306.433044	106.3859	-155.2994
308.653595	106.4112	-155.6888
310.890228	106.3942	-156.0982
313.143066	106.3883	-156.5379
315.412231	106.3791	-156.8945
317.697845	106.3541	-157.0989
320	106.3738	-157.3832
322.318848	106.4072	-157.8323
324.65451	106.4112	-158.4538
327.00708	106.4104	-159.3369
329.376709	106.3714	-160.2392
331.763519	106.2981	-161.0377
334.167603	106.1831	-161.4516
336.589142	106.0966	-161.6472
339.028198	106.0339	-161.7031
341.484924	105.9819	-161.6449
343.959473	105.979	-161.8204
346.451935	105.9818	-162.1921
348.962463	105.9498	-162.6334
351.491211	105.9184	-163.185
354.038239	105.8748	-163.6167
356.60376	105.8138	-163.9178
359.187866	105.7729	-164.4368
